descrizione,african,asian,caucasian,torso_dorsi_muscle,torso_pectoral_muscle,muscle,age,weight,height,proportions,breast_size,breast_firmness,vertical_position,gender,horizontal_distance,pointiness,breast_volume,nipple_size,nipple_point,face_head_fat,face_angle,face_oval,face_round,face_rectangular,face_square,face_triangular,face_invertedtriangular,face_diamond,face_age,torso_scale_depht,torso_scale_horizontally,torso_scale_vertically,torso_move_horizontally,torso_move_depht,torso_scale_cone_shape,fingers_distance,fingers_diameter,fingers_lenght,scale_hand,hand_position,neck_circum,neck_height,"('torso_scale_depht', 'torso_scale_horizontally', 'torso_scale_vertically', 'torso_move_horizontally', 'torso_move_depht', 'torso_scale_cone_shape')"
"Crea una donna giovane, alta, atletica, di etnia asiatica, con proporzioni snelle, viso ovale e caratteristiche delicate.",0,100,0,0,0,30,25,55,175,50,60,50,0,0,0,0,0,0,0,30,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,80.0,50.0,50.0,40.0,60.0,50
"Crea un uomo adulto, di altezza media, corporatura robusta, etnia caucasica, con spalle larghe e volto squadrato.",0,0,100,60,60,80,35,85,170,50,70,50,0,2,0,0,0,0,0,40,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,50,50,50.0,60.0,70.0,40.0,50.0,50
"Crea una ragazza giovane, bassa, magra, etnia africana, con lineamenti delicati",100,0,0,0,0,40,20,45,160,50,50,50,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30.0,30.0,30.0,30.0,30.0,50
"Crea un uomo anziano, alto, di corporatura snella, etnia asiatica, con un viso allungato",0,100,0,0,0,50,70,60,185,50,30,50,0,2,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20.0,40.0,30.0,30.0,30.0,50
"Crea una donna adulta, di altezza media, corporatura normale, etnia caucasica, con proporzioni armoniose e viso ovale.",0,0,100,0,0,50,30,65,170,50,70,50,0,0,0,0,0,0,0,40,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,40.0,50.0,40.0,50
"Crea un ragazzo giovane, alto, muscoloso, di etnia africana, con spalle possenti e viso rettangolare.",100,0,0,80,80,90,25,75,190,50,30,50,0,2,0,0,0,0,0,20,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,50,50.0,60.0,60.0,60.0,60.0,50
"Crea una donna giovane, alta, atletica, di etnia asiatica, con proporzioni snelle, viso ovale e caratteristiche delicate.",0,100,0,0,0,40,25,55,175,50,60,50,0,0,0,0,0,0,0,30,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,80.0,50.0,50.0,40.0,60.0,50
"Crea un uomo adulto, di altezza media, corporatura robusta, etnia caucasica, con spalle larghe e volto squadrato.",0,0,100,60,60,80,35,85,170,50,70,50,0,2,0,0,0,0,0,40,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,50,50,50.0,60.0,70.0,40.0,50.0,50
"Crea una ragazza giovane, bassa, magra, etnia africana, con lineamenti delicati",100,0,0,0,0,40,20,45,160,50,50,50,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30.0,30.0,30.0,30.0,30.0,50
"Crea un uomo anziano, alto, di corporatura snella, etnia asiatica, con un viso allungato",0,100,0,0,0,50,70,60,185,50,30,50,0,2,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20.0,40.0,30.0,30.0,30.0,50
"Crea una donna adulta, di altezza media, corporatura normale, etnia caucasica, con proporzioni armoniose e viso ovale.",0,0,100,0,0,50,40,65,170,50,70,50,0,0,0,0,0,0,0,40,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,40.0,50.0,40.0,50
"Crea un ragazzo giovane, alto, muscoloso, di etnia africana, con spalle possenti e viso rettangolare.",100,0,0,80,80,90,25,75,190,50,30,50,0,2,0,0,0,0,0,20,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,50,50.0,50.0,60.0,60.0,60.0,50
"Crea una donna adulta, di corporatura snella, etnia asiatica, con un viso rotondo",0,100,0,0,0,40,40,60,165,50,60,50,0,0,0,0,0,0,0,30,60,30,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,40.0,50.0,50.0,60.0,50.0,50
"Crea un uomo giovane, muscoloso, di altezza media, etnia africana, con spalle larghe e viso ovale.",100,0,100,80,80,80,28,85,175,50,0,50,0,2,0,0,0,0,0,40,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,50.0,60.0,60.0,50.0,60.0,50
"Crea una ragazza alta, snella, di etnia caucasica, con lineamenti delicati",0,0,100,0,0,40,22,55,180,50,70,50,0,0,0,0,0,0,0,30,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,40.0,50.0,60.0,40.0,50.0,50
"Crea un uomo adulto, alto, muscoloso, etnia asiatica, con un viso triangolare e lineamenti forti.",0,0,100,80,80,90,38,95,185,50,80,50,0,2,0,0,0,0,0,40,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,60,40,50.0,50.0,60.0,50.0,60.0,50
"Crea una donna giovane, di corporatura normale, etnia africana, con un viso rotondo",100,0,0,50,40,55,24,65,165,50,50,50,0,0,0,0,0,0,0,20,30,40,50,0,0,0,0,0,0,0,0,0,0,0,0,60,50,40.0,60.0,50.0,40.0,60.0,50
"Crea un uomo anziano, basso, snello e di etnia caucasica",0,0,100,0,0,40,70,50,170,50,60,50,0,2,0,0,0,0,0,50,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,40.0,60.0,50.0,50
"Crea una donna alta, snella, di etnia asiatica, con un viso triangolare",0,100,0,0,0,45,26,60,180,50,70,50,0,0,0,0,0,0,0,20,30,40,0,0,0,50,0,0,0,0,0,0,0,0,0,50,50,50.0,40.0,60.0,60.0,50.0,50
"Crea un ragazzo giovane, di corporatura media, etnia africana, con viso quadrato e caratteristiche muscolose.",100,0,100,50,40,70,30,80,180,50,50,50,0,2,0,0,0,0,0,60,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,60,50.0,60.0,50.0,40.0,50.0,50
"Crea una donna adulta, con altezza media, etnia caucasica, viso quadrato e corporatura snella.",0,0,100,0,0,40,35,70,160,50,70,50,0,0,0,0,0,0,0,40,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,50,40.0,50.0,50.0,60.0,50.0,50
"Crea un uomo giovane, di corporatura robusta, di etnia asiatica, con viso quadrato",0,100,0,60,60,60,26,85,180,50,80,50,0,2,0,0,0,0,0,40,60,0,0,0,50,0,0,0,0,0,0,0,0,0,0,60,50,50.0,50.0,60.0,50.0,60.0,50
"Crea una figura neutra giovane, di altezza media, corporatura snella, etnia asiatica, con un viso ovale.",0,100,0,0,0,40,20,50,170,50,50,50,0,1,0,0,0,0,0,40,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40.0,40.0,50.0,40.0,40.0,50
"Crea una figura neutra adulta, alta, di corporatura media, etnia africana, con un viso triangolare.",100,0,0,50,40,65,35,70,180,50,40,50,0,1,0,0,0,0,0,40,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,40.0,60.0,50.0,50.0,50
"Crea una figura neutra matura, bassa, di corporatura robusta, etnia caucasica, con un viso quadrato.",0,0,100,60,60,60,50,85,160,50,30,50,0,1,0,0,0,0,0,50,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,40.0,50.0,50.0,30.0,50.0,50
"Crea una figura neutra giovane, di altezza media, muscolosa, etnia africana, con un viso rettangolare.",100,0,0,80,80,70,25,75,175,50,40,50,0,1,0,0,0,0,0,50,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,60,50,50.0,60.0,60.0,60.0,50.0,50
"Crea una figura neutra giovane, di altezza media, proporzioni delicate, etnia asiatica, con un viso ovale.",0,100,0,0,0,50,20,60,165,50,50,50,0,1,0,0,0,0,0,40,50,50,0,30,0,0,0,0,0,0,0,0,0,0,0,40,40,40.0,40.0,50.0,40.0,40.0,50
"Crea un uomo adulto, alto, di corporatura robusta, etnia africana, con spalle larghe e volto rettangolare.",100,0,0,60,60,60,40,95,185,50,30,50,0,2,0,0,0,0,0,30,70,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,50,60.0,50.0,70.0,60.0,60.0,50
"Crea una donna giovane, bassa, atletica, di etnia asiatica, con viso ovale e proporzioni armoniose.",0,100,0,0,0,45,22,50,160,50,50,50,0,0,0,0,0,0,0,40,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,40.0,50.0,50.0,50.0,50.0,50
"Crea una ragazza giovane, snella, di altezza media, etnia caucasica, con lineamenti delicati.",0,0,100,0,0,40,21,50,165,50,60,50,0,0,0,0,0,0,0,30,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,40.0,40.0,40.0,40.0,40.0,50
"Crea un uomo maturo, di altezza media, con corporatura normale, etnia asiatica, e viso rettangolare.",0,100,0,0,0,50,45,75,175,50,40,50,0,2,0,0,0,0,0,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,50.0,50.0,50.0,50
"Crea una donna anziana, di altezza media, con corporatura robusta, etnia africana, e un viso rotondo.",100,0,0,60,60,60,65,70,165,50,40,50,0,0,0,0,0,0,0,30,30,40,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,50.0,40.0,50.0,50
"Crea un ragazzo giovane, alto, atletico, di etnia caucasica, con spalle larghe e volto ovale.",0,0,100,50,50,70,23,65,180,50,50,50,0,2,0,0,0,0,0,40,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,60.0,60.0,50.0,50.0,50
"Crea una figura neutra matura, alta, di corporatura robusta, etnia africana, con un viso rettangolare.",100,0,0,60,60,60,50,85,185,50,40,50,0,1,0,0,0,0,0,40,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,60,60,50.0,50.0,60.0,50.0,50.0,50
"Crea una figura neutra giovane, bassa, snella, di etnia asiatica, con un viso ovale e caratteristiche delicate.",0,100,0,0,0,40,19,45,160,50,30,50,0,1,0,0,0,0,0,30,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40.0,40.0,40.0,40.0,40.0,50
"Crea una donna adulta, alta, muscolosa, di etnia asiatica, con spalle larghe e viso triangolare.",0,100,0,70,70,70,30,75,180,50,60,50,0,0,0,0,0,0,0,50,40,40,0,0,0,50,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,60.0,50.0,50.0,50
"Crea un uomo anziano, basso, con corporatura snella, etnia caucasica, e viso allungato.",0,0,100,0,0,40,68,60,160,50,30,50,0,2,0,0,0,0,0,40,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,40.0,40.0,40.0,30.0,40.0,50
"Genera un uomo giovane con pelle bianca, corpo atletico, mani grandi e collo muscoloso, età 25, peso 75kg, altezza 180cm.",0,0,100,65,65,60,25,75,180,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,30,0,0,0,0,0,0,0,0,0,60,40,50.0,65.0,50.0,70.0,50.0,50
"Genera una donna giovane con pelle bianca, viso ovale, busto tonico, età 22, peso 60kg, altezza 170cm.",0,0,100,40,50,65,22,60,170,50,50,50,0,0,0,0,0,0,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro con pelle bianca, viso quadrato, età 30, peso 85kg, altezza 185cm.",0,0,100,0,0,50,30,85,185,50,0,50,0,1,0,0,0,0,0,40,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera un uomo adulto con pelle bianca, viso triangolare, corpo muscoloso età 35, peso 90kg, altezza 190cm.",0,0,100,80,80,95,35,90,190,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Genera una donna adulta con pelle bianca, viso a forma di diamante, busto scolpito, età 28, peso 68kg, altezza 172cm.",0,0,100,70,70,70,28,68,172,50,50,50,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro con pelle bianca, viso rettangolare, spalle larghe e vita snella, età 29, peso 78kg, altezza 180cm.",0,0,100,50,50,60,29,78,180,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera un uomo giovane con pelle bianca, viso rotondo, corpo scolpito e collo muscoloso, età 23, peso 72kg, altezza 175cm.",0,0,100,80,80,80,23,72,175,50,0,50,0,2,0,0,0,0,0,40,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,70.0,50.0,50
"Genera una donna adulta con pelle bianca, viso triangolare, busto snodato e vita sottile, età 33, peso 63kg, altezza 168cm.",0,0,100,0,0,40,33,63,168,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro con pelle bianca, viso ovale, mani piccole, età 26, peso 68kg, altezza 178cm.",0,0,100,0,0,50,26,68,178,50,0,50,0,1,0,0,0,0,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,30.0,40.0,50.0,50.0,50
"Genera un uomo adulto con pelle bianca, viso quadrato, corpo scolpito e mani larghe, età 40, peso 95kg, altezza 188cm.",0,0,100,80,80,80,40,95,188,50,0,50,0,2,0,0,0,0,0,40,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea un uomo adulto con pelle bianca, corpo atletico e spalle larghe, età 30, peso 85kg, altezza 185cm.",0,0,100,65,60,60,30,85,185,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Genera una donna giovane con pelle bianca, busto tonico, età 24, peso 62kg, altezza 170cm.",0,0,100,40,50,60,24,62,170,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con pelle bianca, muscoloso, mani grandi, età 28, peso 78kg, altezza 180cm.",0,0,100,80,80,80,28,78,180,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,65.0,50.0,50.0,50.0,50
"Genera un uomo giovane con pelle bianca, corpo muscoloso, età 27, peso 82kg, altezza 182cm.",0,0,100,80,80,80,27,82,182,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna adulta con pelle bianca, busto scolpito, età 32, peso 65kg, altezza 172cm.",0,0,100,70,70,75,32,65,172,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro con pelle bianca, busto tonico, età 29, peso 76kg, altezza 178cm.",0,0,100,60,60,60,29,76,178,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo adulto con pelle bianca, busto ampio, età 40, peso 95kg, altezza 190cm.",0,0,100,50,60,65,40,95,190,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Genera una donna giovane con pelle bianca, età 23, peso 58kg, altezza 168cm.",0,0,100,0,0,50,23,58,168,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con pelle bianca, vita snella e mani proporzionate, età 26, peso 70kg, altezza 175cm.",0,0,100,0,0,30,26,70,175,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera un uomo giovane con pelle bianca, età 28, peso 80kg, altezza 180cm.",0,0,100,0,0,50,28,80,180,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna adulta con pelle bianca, busto proporzionato, età 35, peso 66kg, altezza 170cm.",0,0,100,0,0,50,35,66,170,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro con pelle bianca, corpo atletico e spalle ben definite, età 31, peso 77kg, altezza 178cm.",0,0,100,65,65,70,31,77,178,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo adulto con etnia caucasica, spalle larghe e corpo muscoloso, età 34, peso 90kg, altezza 188cm.",0,0,100,80,80,90,34,90,188,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Genera una donna giovane con pelle bianca, busto proporzionato, età 25, peso 60kg, altezza 170cm.",0,0,100,0,0,50,25,60,170,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con etnia caucasica, busto scolpito e mani proporzionate, età 29, peso 75kg, altezza 178cm.",0,0,100,80,80,80,29,75,178,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera un uomo giovane con pelle chiara, corpo atletico, età 27, peso 85kg, altezza 185cm.",0,0,100,60,60,60,27,85,185,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna adulta con etnia caucasica, busto tonico e vita snella, età 33, peso 64kg, altezza 172cm.",0,0,100,40,50,65,33,64,172,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro con pelle bianca, età 30, peso 80kg, altezza 180cm.",0,0,100,50,50,85,30,80,180,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera una donna giovane con etnia caucasica,busto proporzionato, età 24, peso 58kg, altezza 168cm.",0,0,100,0,0,50,24,58,168,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con pelle chiara, busto scolpito, età 32, peso 78kg, altezza 178cm.",0,0,100,80,80,80,32,78,178,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera un uomo giovane con etnia caucasica, busto tonico e mani grandi, età 26, peso 80kg, altezza 180cm.",0,0,100,50,60,65,26,80,180,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,65.0,50.0,50.0,50.0,50
"Crea una donna adulta con pelle chiara, busto scolpito e vita proporzionata, età 36, peso 67kg, altezza 170cm.",0,0,100,70,70,80,36,67,170,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro con etnia caucasica età 28, peso 76kg, altezza 177cm.",0,0,100,0,0,50,28,76,177,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera una donna giovane con pelle scura, busto snello e vita proporzionata, età 25, peso 60kg, altezza 162cm.",100,0,0,0,0,40,25,60,162,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con pelle chiara, corpo tonico e spalle definite, età 32, peso 75kg, altezza 170cm.",0,0,100,50,50,60,32,75,170,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera un uomo giovane con pelle chiara, mani grandi, età 28, peso 80kg, altezza 178cm.",0,0,100,0,0,50,28,80,178,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,65.0,50.0,50.0,50.0,50
"Crea una donna adulta con etnia asiatica, e busto tonico, età 36, peso 64kg, altezza 168cm.",0,100,0,40,50,60,36,64,168,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro con pelle olivastra, busto scolpito e mani lunghe, età 34, peso 73kg, altezza 175cm.",40,40,20,80,80,80,34,73,175,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,65.0,50.0,50.0,50.0,50.0,50
"Crea un uomo adulto con pelle scura, spalle larghe e gambe robuste, età 42, peso 92kg, altezza 185cm.",100,0,0,50,60,65,42,92,185,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Genera una donna giovane con pelle chiara, busto proporzionato, età 27, peso 59kg, altezza 164cm.",0,0,100,0,0,50,27,59,164,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con etnia africana, corpo atletico, età 29, peso 76kg, altezza 173cm.",100,0,0,60,60,60,29,76,173,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
